# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 5000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Pedestrian,229,287
0,Pedestrian,238,307
0,Pedestrian,227,278
0,Pedestrian,255,310
0,Pedestrian,264,273
0,Pedestrian,259,291
0,Pedestrian,252,314
0,Pedestrian,248,353
0,Pedestrian,266,266
0,Pedestrian,267,265
0,Car,271,257
0,Car,284,171
0,Car,278,219
0,Car,296,127
0,Pedestrian,260,268
0,Pedestrian,261,262
0,Pedestrian,265,266
0,Pedestrian,263,292
0,Pedestrian,262,265
0,Car,314,265
0,Pedestrian,292,262
0,Pedestrian,272,268
0,Pedestrian,288,379
0,Pedestrian,273,295
0,Pedestrian,294,392
0,Pedestrian,283,298
0,Pedestrian,285,304
0,Pedestrian,297,351
0,Pedestrian,276,337
0,Pedestrian,279,338
0,Car,306,469
0,Pedestrian,298,252
0,Pedestrian,282,324
0,Pedestrian,290,312
0,Pedestrian,311,506
0,Car,322,461
0,Pedestrian,277,340
0,Pedestrian,281,318
0,Pedestrian,301,273
0,Pedestrian,308,522
0,Pedestrian,312,382
0,Pedestrian,319,500
0,Pedestrian,280,556
0,Pedestrian,287,548
0,Pedestrian,316,513
0,Pedestrian,320,504
0,Pedestrian,274,554
0,Pedestrian,313,531
0,Pedestrian,270,363
0,Pedestrian,317,529
0,Pedestrian,269,343
0,Pedestrian,295,572
0,Pedestrian,304,372
0,Pedestrian,291,652
0,Pedestrian,310,565
0,Pedestrian,318,543
0,Pedestrian,268,355
0,Pedestrian,307,586
0,Pedestrian,363,7
0,Pedestrian,293,524
0,Pedestrian,303,409
0,Pedestrian,299,546
0,Pedestrian,286,324
0,Pedestrian,370,2
0,Pedestrian,275,621
0,Pedestrian,289,650
0,Pedestrian,315,280
0,Pedestrian,302,553
0,Pedestrian,309,516
0,Pedestrian,300,504
0,Pedestrian,305,566
0,Car,323,601
0,Car,324,635
0,Car,330,568
0,Pedestrian,335,365
0,Pedestrian,340,513
0,Pedestrian,333,298
0,Pedestrian,321,566
0,Pedestrian,325,318
0,Pedestrian,332,321
0,Pedestrian,328,406
0,Pedestrian,327,265
0,Pedestrian,341,283
0,Pedestrian,339,271
0,Pedestrian,336,455
0,Pedestrian,342,378
0,Pedestrian,329,275
0,Pedestrian,326,362
0,Pedestrian,338,302
0,Pedestrian,334,333
0,Car,331,689
0,Pedestrian,368,263
0,Car,343,517
0,Car,355,461
0,Pedestrian,345,247
0,Pedestrian,380,297
0,Pedestrian,374,266
0,Pedestrian,364,522
0,Pedestrian,356,270
0,Pedestrian,367,564
0,Pedestrian,352,343
0,Pedestrian,354,286
0,Pedestrian,383,350
0,Pedestrian,348,290
0,Pedestrian,372,308
0,Pedestrian,366,309
0,Pedestrian,377,388
0,Pedestrian,382,350
0,Pedestrian,373,269
0,Pedestrian,379,562
0,Pedestrian,349,524
0,Pedestrian,371,478
0,Pedestrian,358,263
0,Pedestrian,362,555
0,Pedestrian,353,532
0,Pedestrian,376,409
0,Pedestrian,357,525
0,Pedestrian,381,535
0,Pedestrian,365,604
0,Pedestrian,375,622
0,Pedestrian,384,598
0,Pedestrian,350,499
0,Pedestrian,347,496
0,Pedestrian,351,554
0,Pedestrian,360,567
0,Pedestrian,369,659
0,Pedestrian,346,554
0,Pedestrian,359,560
0,Pedestrian,361,554
0,Car,385,479
0,Car,337,991
0,Car,404,343
0,Car,344,893
0,Pedestrian,398,248
0,Pedestrian,388,282
0,Pedestrian,392,279
0,Pedestrian,401,266
0,Pedestrian,403,495
0,Pedestrian,387,365
0,Pedestrian,378,678
0,Pedestrian,402,350
0,Pedestrian,389,404
0,Pedestrian,397,284
0,Pedestrian,395,484
0,Pedestrian,386,275
0,Pedestrian,390,275
0,Pedestrian,399,284
0,Pedestrian,394,289
0,Pedestrian,396,316
0,Car,393,688
0,Pedestrian,391,523
0,Car,406,581
0,Pedestrian,427,268
0,Pedestrian,425,259
0,Pedestrian,412,294
0,Pedestrian,433,268
0,Pedestrian,422,327
0,Pedestrian,417,277
0,Pedestrian,424,312
0,Pedestrian,426,533
0,Pedestrian,429,543
0,Pedestrian,432,320
0,Pedestrian,431,322
0,Pedestrian,409,325
0,Pedestrian,416,355
0,Pedestrian,434,332
0,Pedestrian,407,363
0,Pedestrian,423,252
0,Pedestrian,410,253
0,Pedestrian,421,480
0,Pedestrian,428,561
0,Pedestrian,430,491
0,Pedestrian,435,499
0,Pedestrian,420,537
0,Pedestrian,415,538
0,Pedestrian,413,285
0,Pedestrian,414,558
0,Pedestrian,442,397
0,Pedestrian,408,427
0,Pedestrian,419,531
0,Pedestrian,400,636
0,Car,418,732
0,Pedestrian,411,584
0,Car,405,905
0,Car,444,645
0,Pedestrian,445,319
0,Pedestrian,455,271
0,Pedestrian,437,285
0,Pedestrian,440,548
0,Pedestrian,441,295
0,Pedestrian,461,317
0,Pedestrian,439,336
0,Pedestrian,450,574
0,Pedestrian,481,270
0,Pedestrian,436,331
0,Pedestrian,449,335
0,Pedestrian,438,314
0,Pedestrian,457,581
0,Pedestrian,447,261
0,Pedestrian,458,255
0,Pedestrian,453,413
0,Pedestrian,451,267
0,Pedestrian,454,530
0,Pedestrian,448,276
0,Pedestrian,456,285
0,Pedestrian,463,510
0,Pedestrian,460,558
0,Pedestrian,452,294
0,Pedestrian,446,521
0,Car,467,448
0,Car,443,861
0,Car,497,270
0,Car,498,222
0,Car,459,743
0,Pedestrian,486,280
0,Pedestrian,469,262
0,Pedestrian,480,262
0,Pedestrian,493,411
0,Car,462,739
0,Pedestrian,472,348
0,Pedestrian,478,388
0,Pedestrian,468,392
0,Pedestrian,483,403
0,Pedestrian,474,402
0,Pedestrian,475,410
0,Pedestrian,489,474
0,Pedestrian,477,259
0,Pedestrian,479,254
0,Pedestrian,470,285
0,Pedestrian,471,309
0,Pedestrian,482,529
0,Pedestrian,492,434
0,Pedestrian,473,264
0,Pedestrian,490,480
0,Pedestrian,494,278
0,Pedestrian,465,274
0,Pedestrian,476,496
0,Pedestrian,507,259
0,Pedestrian,504,275
0,Pedestrian,484,329
0,Pedestrian,466,303
0,Pedestrian,502,299
0,Pedestrian,485,563
0,Pedestrian,495,313
0,Pedestrian,510,251
0,Pedestrian,487,343
0,Pedestrian,488,354
0,Pedestrian,509,264
0,Pedestrian,512,262
0,Pedestrian,501,329
0,Pedestrian,515,262
0,Pedestrian,513,270
0,Pedestrian,517,248
0,Pedestrian,516,258
0,Pedestrian,491,382
0,Pedestrian,520,274
0,Pedestrian,522,288
0,Car,464,820
0,Car,533,221
0,Car,496,639
0,Car,545,179
0,Car,530,259
0,Car,539,234
0,Pedestrian,499,255
0,Pedestrian,521,297
0,Pedestrian,519,359
0,Pedestrian,505,298
0,Pedestrian,514,289
0,Pedestrian,511,447
0,Pedestrian,503,282
0,Pedestrian,518,382
0,Pedestrian,500,302
0,Pedestrian,508,307
0,Pedestrian,544,280
0,Pedestrian,506,315
0,Pedestrian,556,260
0,Pedestrian,543,292
0,Pedestrian,548,275
0,Pedestrian,554,329
0,Pedestrian,534,260
0,Pedestrian,547,265
0,Pedestrian,549,356
0,Pedestrian,559,333
