run,crossing_mean,max_peds,vision_range,stoch_variable,strategy,mean
74,0.2568359375,48.0,5.57421875,0.08958007812499999,Reactive,0.0912
75,0.2568359375,41.0,4.68359375,0.08958007812499999,Reactive,0.0798
76,0.44316406250000007,48.0,4.68359375,0.08958007812499999,Reactive,0.107
77,0.44316406250000007,41.0,5.57421875,0.08958007812499999,Reactive,0.0962
78,0.44316406250000007,41.0,4.68359375,0.170009765625,Reactive,0.0758
79,0.44316406250000007,41.0,4.68359375,0.08958007812499999,Reactive,0.0814
80,0.2380859375,27.0,2.19921875,0.142822265625,Reactive,0.0644
81,0.5744140625,27.0,2.19921875,0.142822265625,Reactive,0.068
82,0.2380859375,30.0,2.19921875,0.142822265625,Reactive,0.0698
83,0.2380859375,27.0,5.80859375,0.142822265625,Reactive,0.0582
84,0.2380859375,27.0,2.19921875,0.24364257812499998,Reactive,0.06
85,0.2380859375,30.0,5.80859375,0.24364257812499998,Reactive,0.071
86,0.5744140625,27.0,5.80859375,0.24364257812499998,Reactive,0.0654
87,0.5744140625,30.0,2.19921875,0.24364257812499998,Reactive,0.0714
88,0.5744140625,30.0,5.80859375,0.142822265625,Reactive,0.0722
89,0.5744140625,30.0,5.80859375,0.24364257812499998,Reactive,0.068
90,0.5380859375,47.0,4.19921875,0.28782226562499996,Reactive,0.0764
91,0.2744140625,47.0,4.19921875,0.28782226562499996,Reactive,0.0764
92,0.5380859375,50.0,4.19921875,0.28782226562499996,Reactive,0.0896
93,0.5380859375,47.0,3.80859375,0.28782226562499996,Reactive,0.079
94,0.5380859375,47.0,4.19921875,0.09864257812499999,Reactive,0.0646
95,0.5380859375,50.0,3.80859375,0.09864257812499999,Reactive,0.0794
96,0.2744140625,47.0,3.80859375,0.09864257812499999,Reactive,0.0984
97,0.2744140625,50.0,4.19921875,0.09864257812499999,Reactive,0.1014
98,0.2744140625,50.0,3.80859375,0.28782226562499996,Reactive,0.0844
99,0.2744140625,50.0,3.80859375,0.09864257812499999,Reactive,0.087
100,0.6880859375000001,37.0,3.19921875,0.07032226562499999,Reactive,0.081
101,0.4244140625,37.0,3.19921875,0.07032226562499999,Reactive,0.0726
102,0.6880859375000001,40.0,3.19921875,0.07032226562499999,Reactive,0.0856
103,0.6880859375000001,37.0,4.80859375,0.07032226562499999,Reactive,0.0798
104,0.6880859375000001,37.0,3.19921875,0.026142578124999996,Reactive,0.088
105,0.6880859375000001,40.0,4.80859375,0.026142578124999996,Reactive,0.079
106,0.4244140625,37.0,4.80859375,0.026142578124999996,Reactive,0.0798
107,0.4244140625,40.0,3.19921875,0.026142578124999996,Reactive,0.088
108,0.4244140625,40.0,4.80859375,0.07032226562499999,Reactive,0.0886
109,0.4244140625,40.0,4.80859375,0.026142578124999996,Reactive,0.0726
110,0.38808593750000003,57.0,5.19921875,0.21532226562499998,Reactive,0.0764
111,0.7244140625000002,57.0,5.19921875,0.21532226562499998,Reactive,0.112
112,0.38808593750000003,20.0,5.19921875,0.21532226562499998,Reactive,0.0524
113,0.38808593750000003,57.0,2.80859375,0.21532226562499998,Reactive,0.0924
114,0.38808593750000003,57.0,5.19921875,0.171142578125,Reactive,0.0938
115,0.38808593750000003,20.0,2.80859375,0.171142578125,Reactive,0.0514
116,0.7244140625000002,57.0,2.80859375,0.171142578125,Reactive,0.0884
117,0.7244140625000002,20.0,5.19921875,0.171142578125,Reactive,0.05
118,0.7244140625000002,20.0,2.80859375,0.21532226562499998,Reactive,0.048
119,0.7244140625000002,20.0,2.80859375,0.171142578125,Reactive,0.052
120,0.46308593750000004,32.0,4.69921875,0.179072265625,Reactive,0.075
121,0.7994140625000001,32.0,4.69921875,0.179072265625,Reactive,0.072
122,0.46308593750000004,35.0,4.69921875,0.179072265625,Reactive,0.0822
123,0.46308593750000004,32.0,4.30859375,0.179072265625,Reactive,0.0634
124,0.46308593750000004,32.0,4.69921875,0.062392578125,Reactive,0.0582
125,0.46308593750000004,35.0,4.30859375,0.062392578125,Reactive,0.0782
126,0.7994140625000001,32.0,4.30859375,0.062392578125,Reactive,0.059
127,0.7994140625000001,35.0,4.69921875,0.062392578125,Reactive,0.0732
128,0.7994140625000001,35.0,4.30859375,0.179072265625,Reactive,0.0768
129,0.7994140625000001,35.0,4.30859375,0.062392578125,Reactive,0.0796
130,0.7630859375000001,52.0,2.69921875,0.034072265625,Reactive,0.0906
131,0.49941406250000003,52.0,2.69921875,0.034072265625,Reactive,0.1102
132,0.7630859375000001,55.0,2.69921875,0.034072265625,Reactive,0.0978
133,0.7630859375000001,52.0,2.30859375,0.034072265625,Reactive,0.1028
134,0.7630859375000001,52.0,2.69921875,0.207392578125,Reactive,0.0912
135,0.7630859375000001,55.0,2.30859375,0.207392578125,Reactive,0.1
136,0.49941406250000003,52.0,2.30859375,0.207392578125,Reactive,0.0814
137,0.49941406250000003,55.0,2.69921875,0.207392578125,Reactive,0.1094
138,0.49941406250000003,55.0,2.30859375,0.034072265625,Reactive,0.0932
139,0.49941406250000003,55.0,2.30859375,0.207392578125,Reactive,0.0986
140,0.6130859375000001,22.0,5.69921875,0.25157226562499996,Reactive,0.0516
141,0.34941406250000007,22.0,5.69921875,0.25157226562499996,Reactive,0.0534
142,0.6130859375000001,45.0,5.69921875,0.25157226562499996,Reactive,0.0884
143,0.6130859375000001,22.0,5.30859375,0.25157226562499996,Reactive,0.0554
144,0.6130859375000001,22.0,5.69921875,0.279892578125,Reactive,0.0558
145,0.6130859375000001,45.0,5.30859375,0.279892578125,Reactive,0.064
146,0.34941406250000007,22.0,5.30859375,0.279892578125,Reactive,0.0446
147,0.34941406250000007,45.0,5.69921875,0.279892578125,Reactive,0.0744
148,0.34941406250000007,45.0,5.30859375,0.25157226562499996,Reactive,0.0796
149,0.34941406250000007,45.0,5.30859375,0.279892578125,Reactive,0.0754
