# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,pedestrian_count,car_count,mid_section_count,pedestrians_left,cars_left
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,10,1,0,0,0
0,11,1,0,0,0
0,11,1,0,0,0
0,12,1,0,0,0
0,12,1,0,0,0
0,12,1,0,0,0
0,12,1,0,0,0
0,12,1,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,12,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,13,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,14,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,15,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,16,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,19,2,0,0,0
0,19,3,0,0,0
0,19,3,0,0,0
0,19,3,0,0,0
0,19,3,1,0,0
0,20,3,2,0,0
0,20,3,2,0,0
0,21,3,2,0,0
0,21,3,2,0,0
0,21,3,3,0,0
0,21,3,3,0,0
0,21,3,3,0,0
0,21,3,3,0,0
0,21,3,3,0,0
0,21,3,3,0,0
0,22,3,3,0,0
0,22,3,3,0,0
0,22,3,3,0,0
0,22,3,3,0,0
0,23,3,3,0,0
0,23,3,3,0,0
0,24,3,3,0,0
0,25,3,3,0,0
0,25,3,3,0,0
0,25,3,3,0,0
0,25,3,3,0,0
0,25,3,3,0,0
0,26,3,3,0,0
0,27,3,3,0,0
0,27,3,3,0,0
0,27,3,3,0,0
0,28,3,4,0,0
0,28,3,4,0,0
0,28,3,4,0,0
0,28,3,4,0,0
0,28,3,5,0,0
0,29,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,31,3,5,0,0
0,32,3,5,0,0
0,32,3,5,0,0
0,33,3,5,0,0
0,34,3,5,0,0
0,34,3,5,0,0
0,35,3,5,0,0
0,35,3,5,0,0
0,35,3,5,0,0
0,36,3,5,0,0
0,36,3,5,0,0
0,36,3,5,0,0
0,36,3,5,0,0
0,37,3,5,0,0
0,37,3,5,0,0
0,37,3,5,0,0
0,37,3,5,0,0
0,37,3,5,0,0
0,37,3,5,0,0
0,38,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,39,3,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,40,4,5,0,0
0,41,4,5,0,0
0,41,4,5,0,0
0,42,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,43,4,5,0,0
0,44,4,5,0,0
0,44,4,5,0,0
0,44,4,5,0,0
0,44,4,5,0,0
0,44,4,5,0,0
0,44,4,3,0,0
0,44,4,2,0,0
0,46,4,2,0,0
0,46,4,2,0,0
0,46,4,2,0,0
0,46,4,2,0,0
0,46,4,2,0,0
0,47,4,2,0,0
0,48,4,2,0,0
0,48,4,2,0,0
0,49,4,2,0,0
0,49,4,2,0,0
0,49,4,2,0,0
0,49,4,2,0,0
0,50,4,2,0,0
0,50,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,51,4,2,0,0
0,52,4,2,0,0
0,52,4,2,0,0
0,52,4,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,52,5,2,0,0
0,53,5,2,0,0
0,53,5,2,0,0
0,53,5,2,0,0
0,53,5,5,0,0
0,53,5,5,0,0
0,53,6,5,0,0
0,53,6,5,0,0
0,53,6,6,0,0
0,53,6,7,0,0
0,53,6,7,0,0
0,53,6,8,0,0
0,53,5,9,0,1
0,53,5,10,0,0
0,53,5,10,0,0
0,53,5,9,0,0
0,54,5,9,0,0
0,55,5,9,0,0
0,55,5,9,0,0
0,55,4,9,0,1
0,55,4,9,0,0
0,55,4,9,0,0
0,55,4,9,0,0
0,55,4,10,0,0
0,56,4,10,0,0
0,56,4,10,0,0
0,56,4,10,0,0
0,56,4,10,0,0
0,56,4,10,0,0
0,57,4,11,0,0
0,57,4,10,0,0
0,57,4,11,0,0
0,57,4,11,0,0
0,57,4,11,0,0
0,57,4,12,0,0
0,58,4,12,0,0
0,58,4,12,0,0
0,58,4,12,0,0
0,58,4,12,0,0
0,58,4,11,0,0
0,58,4,11,0,0
0,58,4,12,0,0
0,59,4,12,0,0
0,59,4,13,0,0
0,59,3,14,0,1
0,59,3,14,0,0
0,59,3,14,0,0
0,59,3,14,0,0
0,59,3,14,0,0
0,60,3,13,0,0
0,60,3,13,0,0
