# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
2,Pedestrian,17,340
2,Pedestrian,75,264
2,Pedestrian,74,294
2,Car,77,287
2,Car,104,220
2,Car,86,282
2,Car,122,187
2,Car,141,128
2,Pedestrian,76,259
2,Pedestrian,73,298
2,Pedestrian,69,294
2,Pedestrian,71,293
2,Pedestrian,79,416
2,Pedestrian,83,299
2,Pedestrian,80,349
2,Pedestrian,65,306
2,Pedestrian,72,345
2,Pedestrian,82,454
2,Pedestrian,123,286
2,Pedestrian,128,401
2,Pedestrian,160,295
2,Pedestrian,136,386
2,Pedestrian,117,633
2,Pedestrian,127,536
2,Pedestrian,110,537
2,Pedestrian,112,539
2,Pedestrian,109,521
2,Pedestrian,84,532
2,Pedestrian,91,569
2,Pedestrian,144,578
2,Pedestrian,147,570
2,Pedestrian,102,657
2,Pedestrian,121,640
2,Pedestrian,130,655
2,Pedestrian,95,276
2,Car,184,464
2,Pedestrian,100,564
2,Pedestrian,106,283
2,Pedestrian,140,642
2,Pedestrian,175,512
2,Pedestrian,171,549
2,Pedestrian,156,600
2,Pedestrian,157,606
2,Pedestrian,162,590
2,Pedestrian,92,349
2,Pedestrian,165,584
2,Pedestrian,116,761
2,Pedestrian,125,744
2,Pedestrian,132,726
2,Pedestrian,146,717
2,Pedestrian,148,484
2,Pedestrian,179,747
2,Pedestrian,135,680
2,Pedestrian,164,604
2,Pedestrian,126,717
2,Pedestrian,189,539
2,Pedestrian,260,6
2,Pedestrian,94,601
2,Pedestrian,197,540
2,Pedestrian,190,668
2,Pedestrian,196,752
2,Pedestrian,213,692
2,Pedestrian,214,691
2,Pedestrian,210,706
2,Pedestrian,199,578
2,Pedestrian,118,796
2,Pedestrian,194,785
2,Pedestrian,85,1100
2,Car,221,854
2,Pedestrian,134,944
2,Pedestrian,103,1230
2,Car,225,891
2,Pedestrian,230,295
2,Pedestrian,178,604
2,Pedestrian,226,591
2,Pedestrian,89,1210
2,Pedestrian,107,1597
2,Pedestrian,81,1532
2,Car,155,1550
2,Car,249,1179
2,Pedestrian,133,1313
2,Pedestrian,88,2139
2,Pedestrian,254,874
2,Car,168,2099
2,Pedestrian,247,1487
2,Pedestrian,251,782
2,Pedestrian,115,2253
2,Pedestrian,78,2169
2,Pedestrian,186,1813
2,Pedestrian,167,2145
2,Car,281,974
2,Pedestrian,206,1904
2,Pedestrian,268,1636
2,Pedestrian,277,1444
2,Pedestrian,258,1890
2,Car,284,1825
2,Pedestrian,271,2195
2,Pedestrian,101,3425
2,Car,177,3346
2,Car,285,1806
2,Pedestrian,261,2519
2,Pedestrian,163,4025
2,Car,295,1893
2,Pedestrian,152,1270
2,Pedestrian,173,1217
2,Pedestrian,292,1860
2,Pedestrian,212,1494
2,Pedestrian,262,3379
2,Pedestrian,293,2138
2,Pedestrian,166,4336
2,Car,207,4360
2,Pedestrian,187,2702
2,Car,296,2581
2,Car,227,5113
2,Pedestrian,237,3891
2,Car,302,2327
2,Pedestrian,286,3694
2,Pedestrian,228,5344
2,Pedestrian,265,2759
