# This is a generated file to store info about the model
# Light strategy: Reactive
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,agent_type,unique_id,time_spent
0,Car,17,220
0,Car,20,219
0,Car,28,185
0,Car,49,131
0,Pedestrian,10,257
0,Pedestrian,9,266
0,Pedestrian,12,286
0,Car,63,154
0,Pedestrian,48,281
0,Pedestrian,11,274
0,Pedestrian,23,274
0,Pedestrian,42,271
0,Pedestrian,16,359
0,Pedestrian,34,276
0,Pedestrian,29,278
0,Pedestrian,25,371
0,Pedestrian,43,336
0,Pedestrian,38,289
0,Pedestrian,44,339
0,Pedestrian,13,293
0,Pedestrian,7,299
0,Pedestrian,8,299
0,Pedestrian,30,402
0,Pedestrian,40,375
0,Pedestrian,62,256
0,Pedestrian,50,256
0,Pedestrian,57,259
0,Pedestrian,46,267
0,Pedestrian,22,327
0,Pedestrian,31,267
0,Pedestrian,33,266
0,Pedestrian,64,270
0,Pedestrian,61,315
0,Pedestrian,54,277
0,Pedestrian,26,285
0,Pedestrian,24,291
0,Pedestrian,128,6
0,Pedestrian,67,287
0,Pedestrian,53,359
0,Pedestrian,15,296
0,Pedestrian,66,300
0,Pedestrian,41,337
0,Pedestrian,21,306
0,Pedestrian,35,307
0,Pedestrian,45,410
0,Pedestrian,59,355
0,Pedestrian,18,317
0,Pedestrian,74,276
0,Pedestrian,19,325
0,Pedestrian,68,319
0,Pedestrian,14,337
0,Pedestrian,37,343
0,Pedestrian,78,283
0,Pedestrian,47,440
0,Pedestrian,60,394
0,Pedestrian,32,373
0,Car,65,406
0,Car,100,354
0,Pedestrian,27,673
0,Pedestrian,69,286
0,Pedestrian,72,298
0,Pedestrian,76,285
0,Pedestrian,56,305
0,Pedestrian,70,291
0,Pedestrian,71,300
0,Pedestrian,39,682
0,Pedestrian,51,310
0,Pedestrian,75,309
0,Pedestrian,73,310
0,Pedestrian,58,336
0,Pedestrian,85,261
0,Pedestrian,52,497
0,Pedestrian,77,313
0,Pedestrian,89,502
0,Pedestrian,55,453
0,Pedestrian,109,284
0,Pedestrian,115,343
0,Pedestrian,105,366
0,Pedestrian,111,569
0,Pedestrian,124,620
0,Pedestrian,106,700
0,Pedestrian,125,624
0,Pedestrian,134,497
0,Pedestrian,113,555
0,Pedestrian,116,313
0,Pedestrian,82,310
0,Pedestrian,133,612
0,Pedestrian,122,664
0,Pedestrian,138,422
0,Pedestrian,119,261
0,Pedestrian,145,564
