# This is a generated file to store info about the model
# Light strategy: Simultaneous
# Timesteps of each simulation: 7000
# Crowdedness: Unkown?
iteration,pedestrian_count,car_count,mid_section_count,pedestrians_left,cars_left
0,2,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
0,4,0,0,0,0
0,4,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
0,10,0,0,0,0
0,12,0,0,0,0
0,12,0,0,0,0
0,12,0,0,0,0
0,13,0,0,0,0
0,13,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
0,15,0,0,0,0
0,15,0,0,0,0
0,15,1,0,0,0
0,15,1,0,0,0
0,15,1,0,0,0
0,15,1,0,0,0
0,16,1,0,0,0
0,16,1,0,0,0
0,16,1,0,0,0
0,16,1,0,0,0
0,16,1,0,0,0
0,17,1,0,0,0
0,17,1,0,0,0
0,17,1,0,0,0
0,17,1,0,0,0
0,17,1,0,0,0
0,17,1,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,17,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,18,2,0,0,0
0,19,2,0,0,0
0,19,2,0,0,0
0,20,2,0,0,0
0,20,2,0,0,0
0,21,2,0,0,0
0,21,2,0,0,0
0,21,2,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,21,3,0,0,0
0,22,3,0,0,0
0,22,3,0,0,0
0,22,3,0,0,0
0,22,3,0,0,0
0,22,3,0,0,0
0,22,3,0,0,0
0,23,3,0,0,0
0,23,3,0,0,0
0,23,3,0,0,0
0,23,3,0,0,0
0,23,3,0,0,0
0,23,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,0,0,0
0,24,3,1,0,0
0,24,3,1,0,0
0,24,3,1,0,0
0,24,3,1,0,0
0,24,3,1,0,0
0,24,3,1,0,0
0,24,3,2,0,0
0,24,3,2,0,0
0,24,3,2,0,0
0,24,3,2,0,0
0,24,3,2,0,0
0,25,3,3,0,0
0,26,3,4,0,0
0,26,3,4,0,0
0,26,3,4,0,0
0,26,3,5,0,0
0,26,3,5,0,0
0,26,3,5,0,0
0,26,3,5,0,0
0,26,4,5,0,0
0,26,4,5,0,0
0,26,4,6,0,0
0,26,4,6,0,0
0,26,4,6,0,0
0,27,4,6,0,0
0,27,4,6,0,0
0,27,4,6,0,0
0,27,4,6,0,0
0,28,4,6,0,0
0,28,4,6,0,0
0,29,4,6,0,0
0,29,4,6,0,0
0,29,4,7,0,0
0,29,4,7,0,0
0,29,4,7,0,0
0,29,4,7,0,0
0,29,4,7,0,0
0,29,4,8,0,0
0,29,4,9,0,0
0,29,4,9,0,0
0,30,4,9,0,0
0,30,4,9,0,0
0,30,4,9,0,0
0,31,4,9,0,0
0,32,4,9,0,0
0,32,4,9,0,0
0,32,4,9,0,0
0,34,4,9,0,0
0,34,4,9,0,0
0,34,4,8,0,0
0,34,4,9,0,0
0,35,4,10,0,0
0,35,4,10,0,0
0,36,4,10,0,0
0,36,5,10,0,0
0,37,5,10,0,0
0,38,5,10,0,0
0,38,5,10,0,0
0,38,5,11,0,0
0,39,5,11,0,0
0,40,5,10,0,0
0,40,5,10,0,0
0,40,5,10,0,0
0,40,5,10,0,0
0,41,5,10,0,0
0,41,5,10,0,0
0,41,5,10,0,0
0,42,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,43,5,10,0,0
0,44,5,10,0,0
0,44,6,10,0,0
0,44,6,10,0,0
0,44,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,10,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,6,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,11,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,7,6,0,0
0,45,6,6,0,1
0,45,6,6,0,0
0,45,5,6,0,1
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,6,0,0
0,45,5,10,0,0
0,45,5,11,0,0
0,45,5,14,0,0
0,45,5,15,0,0
0,45,5,15,0,0
0,45,5,15,0,0
0,45,5,15,0,0
0,45,5,15,0,0
0,45,5,14,0,0
0,45,5,14,0,0
0,45,5,14,0,0
0,45,4,15,0,1
0,45,4,15,0,0
0,45,4,15,0,0
0,45,3,17,0,1
0,45,3,17,0,0
0,45,3,17,0,0
0,45,3,18,0,0
0,45,3,18,0,0
0,45,3,18,0,0
0,45,3,17,0,0
0,45,3,17,0,0
0,45,3,17,0,0
0,45,3,16,0,0
0,45,3,16,0,0
0,45,3,16,0,0
0,45,3,16,0,0
0,45,3,18,0,0
0,45,3,20,0,0
0,45,3,20,0,0
0,45,3,20,0,0
0,45,3,20,0,0
0,45,3,9,0,0
0,45,3,8,0,0
0,45,3,9,0,0
0,45,2,8,0,1
0,45,2,6,0,0
0,45,2,6,0,0
0,45,2,5,0,0
0,45,2,4,0,0
0,45,2,3,0,0
0,45,2,4,0,0
0,45,2,3,0,0
0,45,2,3,0,0
0,45,2,3,0,0
0,45,2,2,0,0
0,45,2,2,0,0
0,45,2,2,0,0
0,45,2,2,0,0
0,45,2,2,0,0
0,45,3,2,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,1,0,0
0,45,3,0,0,0
0,45,2,0,0,1
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
0,45,2,0,0,0
